# ESTRUCTURA DE ENERGIA VITAMIN-J+ (211 GRUPOS)  --  fronteras en eV
#
# Fuente primaria : ENEA, informe tecnico ADPFISS-LP1-107, Tabla 2
#                   'Energy group boundaries of the Vitamin-J+ (211-energy group structure)'
#                   https://iris.enea.it/retrieve/dd11e37c-dbb1-5d97-e053-d805fe0a6f04/ADPFISS-LP1-107.pdf
#                   NOTA: la columna de la tabla original esta escalada; los valores aqui
#                   son los de la tabla multiplicados por 1E-4 para expresarlos en eV
#                   (equivalentemente, x1E-10 para MeV).
# Validacion       : las 175 fronteras inferiores de los grupos 37..211 coinciden con la
#                   Tabla III.1 del manual ACAB v.2008 (Vitamin-J 175 grupos, Emin en MeV)
#                   dentro del redondeo a 3 cifras del manual: 0 discrepancias > 0,5 %.
#                   Los grupos 1..36 son la extension 20 -> 55 MeV en 36 intervalos de
#                   1,000 MeV descrita en el texto del manual (pag. 26).
# Correspondencia  : grupo Vitamin-J n  <->  grupo Vitamin-J+ g = n + 36
# Orden            : descendente en energia (grupo 1 = 55 MeV ... grupo 211 = 1E-5 eV)
# Uso en COLLAPS   : ILIB = IESF = 12 ; NGROUP negativo (orden descendente)
#
# grupo   E_sup(eV)      E_inf(eV)
   136    1.426400E+05   1.356900E+05
   137    1.356900E+05   1.290700E+05
   138    1.290700E+05   1.227700E+05
   139    1.227700E+05   1.167900E+05
   140    1.167900E+05   1.110900E+05
   141    1.110900E+05   9.803700E+04
   142    9.803700E+04   8.651700E+04
   143    8.651700E+04   8.250300E+04
   144    8.250300E+04   7.949900E+04
   145    7.949900E+04   7.199800E+04
   146    7.199800E+04   6.737900E+04
   147    6.737900E+04   5.656200E+04
   148    5.656200E+04   5.247500E+04
   149    5.247500E+04   4.630900E+04
   150    4.630900E+04   4.086800E+04
   151    4.086800E+04   3.430700E+04
   152    3.430700E+04   3.182800E+04
   153    3.182800E+04   2.850100E+04
   154    2.850100E+04   2.700000E+04
   155    2.700000E+04   2.605800E+04
   156    2.605800E+04   2.478800E+04
   157    2.478800E+04   2.417600E+04
   158    2.417600E+04   2.357900E+04
   159    2.357900E+04   2.187500E+04
   160    2.187500E+04   1.930500E+04
   161    1.930500E+04   1.503400E+04
   162    1.503400E+04   1.170900E+04
   163    1.170900E+04   1.059500E+04
   164    1.059500E+04   9.118800E+03
   165    9.118800E+03   7.101700E+03
   166    7.101700E+03   5.530800E+03
   167    5.530800E+03   4.307400E+03
   168    4.307400E+03   3.707400E+03
   169    3.707400E+03   3.354600E+03
   170    3.354600E+03   3.035400E+03
   171    3.035400E+03   2.746500E+03
   172    2.746500E+03   2.612600E+03
   173    2.612600E+03   2.485200E+03
   174    2.485200E+03   2.248700E+03
   175    2.248700E+03   2.034700E+03
   176    2.034700E+03   1.584600E+03
   177    1.584600E+03   1.234100E+03
   178    1.234100E+03   9.611200E+02
   179    9.611200E+02   7.485200E+02
   180    7.485200E+02   5.829500E+02
   181    5.829500E+02   4.540000E+02
   182    4.540000E+02   3.535800E+02
   183    3.535800E+02   2.753600E+02
   184    2.753600E+02   2.144500E+02
   185    2.144500E+02   1.670200E+02
   186    1.670200E+02   1.300700E+02
   187    1.300700E+02   1.013000E+02
   188    1.013000E+02   7.889300E+01
   189    7.889300E+01   6.144200E+01
   190    6.144200E+01   4.785100E+01
   191    4.785100E+01   3.726700E+01
   192    3.726700E+01   2.902300E+01
   193    2.902300E+01   2.260300E+01
   194    2.260300E+01   1.760400E+01
   195    1.760400E+01   1.371000E+01
   196    1.371000E+01   1.067700E+01
   197    1.067700E+01   8.315300E+00
   198    8.315300E+00   6.476000E+00
   199    6.476000E+00   5.043500E+00
   200    5.043500E+00   3.927900E+00
   201    3.927900E+00   3.059000E+00
   202    3.059000E+00   2.382400E+00
   203    2.382400E+00   1.855400E+00
   204    1.855400E+00   1.445000E+00
   205    1.445000E+00   1.125400E+00
   206    1.125400E+00   8.764300E-01
   207    8.764300E-01   6.825600E-01
   208    6.825600E-01   5.315800E-01
   209    5.315800E-01   4.139900E-01
   210    4.139900E-01   1.000000E-01
   211    1.000000E-01   1.000000E-05
