         105
   40 (N,N-g)                0   1 1      10
   41 (N,N-m)                1   1 1      10
   42 (N,N-s)                2   1 1      10
  110 (N,2ND-g)         -10030   2 2      10 1   10020
  111 (N,2ND-m)         -10029   2 2      10 1   10020
  112 (N,2ND-s)         -10028   2 2      10 1   10020
  160 (N,2N-g)             -10   1 2      10
  161 (N,2N-m)              -9   1 2      10
  162 (N,2N-s)              -8   1 2      10
  170 (N,3N-g)             -20   1 3      10
  171 (N,3N-m)             -19   1 3      10
  172 (N,3N-s)             -18   1 3      10
  180 (N,F-g)            12345   1 1   12345
  220 (N,NA-g)          -20040   2 1      10 1   20040
  221 (N,NA-m)          -20039   2 1      10 1   20040
  222 (N,NA-s)          -20038   2 1      10 1   20040
  230 (N,N3A-g)         -60120   2 1      10 3   20040
  231 (N,N3A-m)         -60119   2 1      10 3   20040
  232 (N,N3A-s)         -60118   2 1      10 3   20040
  240 (N,2NA-g)         -20050   2 2      10 1   20040
  241 (N,2NA-m)         -20049   2 2      10 1   20040
  242 (N,2NA-s)         -20048   2 2      10 1   20040
  250 (N,3NA-g)         -20060   2 3      10 1   20040
  251 (N,3NA-m)         -20059   2 3      10 1   20040
  252 (N,3NA-s)         -20058   2 3      10 1   20040
  280 (N,NP-g)          -10010   2 1      10 1   10010
  281 (N,NP-m)          -10009   2 1      10 1   10010
  282 (N,NP-s)          -10008   2 1      10 1   10010
  290 (N,N2A-g)         -40080   2 1      10 2   20040
  291 (N,N2A-m)         -40079   2 1      10 2   20040
  292 (N,N2A-s)         -40078   2 1      10 2   20040
  300 (N,2N2A-g)        -40090   2 2      10 2   20040
  301 (N,2N2A-m)        -40089   2 2      10 2   20040
  302 (N,2N2A-s)        -40088   2 2      10 2   20040
  320 (N,ND-g)          -10020   2 1      10 1   10020
  321 (N,ND-m)          -10019   2 1      10 1   10020
  322 (N,ND-s)          -10018   2 1      10 1   10020
  330 (N,NT-g)          -10030   2 1      10 1   10030
  331 (N,NT-m)          -10029   2 1      10 1   10030
  332 (N,NT-s)          -10028   2 1      10 1   10030
  340 (N,NH-g)          -20030   2 1      10 1   20030
  341 (N,NH-m)          -20029   2 1      10 1   20030
  342 (N,NH-s)          -20028   2 1      10 1   20030
  350 (N,ND2A-g)        -50100   3 1      10 1   10020 2   20040
  351 (N,ND2A-m)        -50099   3 1      10 1   10020 2   20040
  360 (N,NT2A-g)        -50110   3 1      10 1   10030 2   20040
  361 (N,NT2A-m)        -50109   3 1      10 1   10030 2   20040
  370 (N,4N-g)             -30   1 4      10
  371 (N,4N-m)             -29   1 4      10
  372 (N,4N-s)             -28   1 4      10
  410 (N,2NP-g)         -10020   2 2      10 1   10010
  411 (N,2NP-m)         -10019   2 2      10 1   10010
  412 (N,2NP-s)         -10018   2 2      10 1   10010
  420 (N,3NP-g)         -10030   2 3      10 1   10010
  421 (N,3NP-m)         -10029   2 3      10 1   10010
  440 (N,N2P-g)         -20020   2 1      10 2   10010
  441 (N,N2P-m)         -20019   2 1      10 2   10010
  442 (N,N2P-s)         -20018   2 1      10 2   10010
  450 (N,NPA-g)         -30050   3 1      10 1   10010 1   20040
  451 (N,NPA-m)         -30049   3 1      10 1   10010 1   20040
  452 (N,NPA-s)         -30048   3 1      10 1   10010 1   20040
 1020 (N,G-g)               10   1 1       1
 1021 (N,G-m)               11   1 1       1
 1022 (N,G-s)               12   1 1       1
 1030 (N,P-g)           -10000   1 1   10010
 1031 (N,P-m)            -9999   1 1   10010
 1032 (N,P-s)            -9998   1 1   10010
 1040 (N,D-g)           -10010   1 1   10020
 1041 (N,D-m)           -10009   1 1   10020
 1042 (N,D-s)           -10008   1 1   10020
 1050 (N,T-g)           -10020   1 1   10030
 1051 (N,T-m)           -10019   1 1   10030
 1052 (N,T-s)           -10018   1 1   10030
 1060 (N,H-g)           -20020   1 1   20030
 1061 (N,H-m)           -20019   1 1   20030
 1062 (N,H-s)           -20018   1 1   20030
 1070 (N,A-g)           -20030   1 1   20040
 1071 (N,A-m)           -20029   1 1   20040
 1072 (N,A-s)           -20028   1 1   20040
 1080 (N,2A-g)          -40070   1 2   20040
 1081 (N,2A-m)          -40069   1 2   20040
 1082 (N,2A-s)          -40068   1 2   20040
 1090 (N,3A-g)          -60110   1 3   20040
 1091 (N,3A-m)          -60109   1 3   20040
 1092 (N,3A-s)          -60108   1 3   20040
 1110 (N,2P-g)          -20010   1 2   10010
 1111 (N,2P-m)          -20009   1 2   10010
 1112 (N,2P-s)          -20008   1 2   10010
 1120 (N,PA-g)          -30040   2 1   10010 1   20040
 1121 (N,PA-m)          -30039   2 1   10010 1   20040
 1122 (N,PA-s)          -30038   2 1   10010 1   20040
 1130 (N,T2A-g)         -50100   2 1   10030 2   20040
 1131 (N,T2A-m)         -50099   2 1   10030 2   20040
 1140 (N,D2A-g)         -50090   2 1   10020 2   20040
 1141 (N,D2A-m)         -50089   2 1   10020 2   20040
 1142 (N,D2A-s)         -50088   2 1   10020 2   20040
 1150 (N,PD-g)          -20020   2 1   10010 1   10020
 1151 (N,PD-m)          -20019   2 1   10010 1   10020
 1152 (N,PD-s)          -20018   2 1   10010 1   10020
 1160 (N,PT-g)          -20030   2 1   10010 1   10030
 1161 (N,PT-m)          -20029   2 1   10010 1   10030
 1162 (N,PT-s)          -20028   2 1   10010 1   10030
 1170 (N,DA-g)          -30050   2 1   10020 1   20040
 1171 (N,DA-m)          -30049   2 1   10020 1   20040
 1172 (N,DA-s)          -30048   2 1   10020 1   20040
