folder,espectro,n_grupos,frac_termica,frac_epitermica,frac_rapida
TeO269_LANL-OWR,69_LANL-OWR,69,0.39271850916575174,0.2800762009976484,0.3272052898365999
TeO270_Cf252,70_Cf252,70,0,0.012332990709246518,0.9876670092907535
TeO2112_MURR-G1,112_MURR-G1,112,0.644175122825911,0.23767602961643966,0.1181488475576492
TeO2171_HFR-C3,171_HFR-C3,171,0.09168231686432972,0.39230968433650637,0.5160079987991639
TeO2172_Phenix,172_Phenix,172,0.00031478865900055224,0.9694793706027481,0.030205840738251322
TeO2175_ITER-DT,175_ITER-DT,175,0.03763043436159974,0.35583987333497696,0.6065296923034232
TeO2238_HFIR-VXF3-AD,238_HFIR-VXF3-AD,238,0.7297697664825594,0.19613883374060623,0.0740913997768343
TeO2621_SCK-BR2,621_SCK-BR2,621,0.2869887704158434,0.35467958829773766,0.3583316412864189
TeO2640_LR-0-Void,640_LR-0-Void,640,0.19932720087923134,0.363749264654559,0.43692353446620974
