folder,phi,XNORM
TeO2x0.049810719266786214,5000000000000,0.049810719266786214
TeO2x0.664474995018928,66700000000000,0.664474995018928
TeO2x0.8477784419207013,85100000000000,0.8477784419207013
TeO2x1,100380000000000,1
TeO2x996.2143853357243,100000000000000000,996.2143853357243
